"","SiteID","Adenophora stenanthina","Adenophora stricta","Agriophyllum squarrosum","Agropyron cristatum","Agropyron desertorum","Agropyron michnoi","Agrostis clavata","Alhagi sparsifolia","Allium anisopodium","Allium bidentatum","Allium mongolicum","Allium polyrhizum","Allium ramosum","Allium tenuissimum","Amaranthus retroflexus","Androsace longifolia","Androsace umbellata","Anemarrhena asphodeloides","Anemone chinensis","Artemisia argyi","Artemisia capillaris","Artemisia desertorum","Artemisia dracunculus","Artemisia frigida","Artemisia pubescens","Artemisia scoparia","Artemisia sieversiana","Artemisia tanacetifolia","Artemisia vulgaris","Asparagus cochinchinensis","Astragalus adsurgens","Astragalus arbuscula","Astragalus galactites","Astragalus melilotoides","Astragalus propinquus","Astragalus scaberrimus","Axyris amaranthoides","Bassia dasyphylla","Bassia prostrata","Bromus inermis","Bromus japonicus","Bupleurum longiradiatum","Bupleurum scorzonerifolium","Calamagrostis epigejos","Calligonum mongolicum","Calystegia hederacea","Calystegia sepium","Cannabis sativa","Caragana microphylla","Caragana stenophylla","Cardamine hirsuta","Carex korshinskyi","Carex pediformis","Carex stenocarpa","Chamaerhodos erecta","Chenopodium acuminatum","Chenopodium glaucum","Chloris virgata","Cirsium arvense","Cleistogenes songorica","Cleistogenes squarrosa","Clematis florida","Convolvulus ammannii","Convolvulus arvensis","Cymbaria daurica","Cymbaria mongolica","Cynanchum thesioides","Digitaria ischaemum","Digitaria sanguinalis","Dontostemon dentatus","Dysphania aristata","Echinochloa crus-galli","Elymus dahuricus","Elymus kamoji","Ephedra sinica","Eragrostis pilosa","Erodium stephanianum","Festuca ovina","Filifolium sibiricum","Galium verum","Gentiana scabra","Gentiana squarrosa","Geranium wilfordii","Glycyrrhiza uralensis","Gueldenstaedtia verna","Gypsophila davurica","Haplophyllum dauricum","Hemerocallis citrina","Heteropappus altaicus","Iris dichotoma","Iris lactea","Iris tectorum","Iris tenuifolia","Ixeris polycephala","Kalimeris hispida","Koeleria pyramidata","Krascheninnikovia ceratoides","Lappula myosotis","Leonurus japonicus","Lepidium apetalum","Lespedeza bicolor","Lespedeza potaninii","Leymus chinensis","Leymus secalinus","Linaria vulgaris","Medicago falcata","Medicago ruthenica","Neopallasia pectinata","Nepeta cataria","Nepeta tenuifolia","Nitraria tangutorum","Oxytropis aciphylla","Oxytropis alpina","Oxytropis fetissovii","Oxytropis leptophylla","Parthenocissus tricuspidata","Peganum harmala","Pennisetum glaucum","Phragmites australis","Plantago asiatica","Poa annua","Polygonum divaricatum","Polygonum sibiricum","Portulaca oleracea","Potentilla acaulis","Potentilla anserina","Potentilla chinensis","Potentilla multifida","Potentilla tanacetifolia","Potentilla verticillaris","Pulsatilla turczaninovii","Reaumuria soongarica","Rumex acetosella","Salsola collina","Salsola passerina","Sanguisorba officinalis","Saposhnikovia divaricata","Saussurea japonica","Scorzonera austriaca","Scutellaria baicalensis","Scutellaria ovata","Serratula centauroides","Setaria viridis","Sibbaldia procumbens","Sibbaldianthe bifurca","Silene aprica","Silene conoidea","Sphallerocarpus gracilis","Stellaria media","Stellera chamaejasme","Stipa breviflora","Stipa grandis","Stipa krylovii","Stipa purpurea","Stipa sibirica","Stipa tianschanica","Suaeda glauca","Suaeda maritima","Taraxacum mongolicum","Thalictrum aquilegiifolium","Thalictrum petaloideum","Thalictrum squarrosum","Thermopsis lanceolata","Thymus mongolicus","Trachydium tianshanicum","Tribulus terrestris","Trifolium lupinaster","Urtica fissa","Veronica polita","Vicia amoena","Vicia sepium","Vicia unijuga","Xanthium strumarium","Zygophyllum xanthoxylon","NA"
"1","1",0,0,0,3.61444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.315,0,0,0,0,0,0,0,0,0,0,0,0,4.84,0,0,14.15,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,10.695,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42,0,0,0,0,23.8922222222222,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7714285714286,0,0,0,0,0,0,29.13,0,0,0,0,0,14.8,0,0,0,2.7075,0,0,0,0,0,0,0.015,9.45555555555556,0,0,0,0,0.85,0.09,0.8825,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.315,0,0,0,0,0,0,0,0,32.57,0,41.1233333333333,0,0,0.196666666666667,0,0,0,0,0,4.75222222222222,0,0,0,0,0,0,0,0,0,0
"2","2",0,0,0,6.841,0,0,0,0,0,0,0.03,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,1.565,0,0,0.43,19.8975,0,0,0,0,0,13.125,0,0,0,0,0,0,0.275,3.65333333333333,0,2.2925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783333333333333,0,0,0,0,0,0,0,0.265,0,0,0,0,0.345,0.22,0.91,0,0,0,0,0,0,0,0,0,3.15833333333333,0,0,0,0,0,0,2.45,0,0,0,0,0,0,0,0,36.6,0,23.3111111111111,0,0,0.66,0,0,0,0,0,0.8825,0,0,0,0,0,0,0,0,0,0
"3","4",0,0,0,5.908,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.831,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485,0
"5","14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","25",0,0,0,0,0,0,0,0,0,0,4.14666666666667,0,0.43,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0.915,0,0,0,0,0,0,1.515,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.346666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07285714285714,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20666666666667,0,0,2.745,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0.982,0,0,0,0,0,1.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","26",0,0,0,0,0,0,0,0,0,0,0.303333333333333,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.445,0,0,0,0,0,0,5.035,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,5.06333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.802,0,0,3.39666666666667,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,8.505,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0
"14","27",0,0,0,0,0,0,0,0,0,0,0.126666666666667,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.285,0,0,0,0,0,0,0,0.4,0,0,3.92,0,0,0,0,0,0,10.8079111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11166666666667,0,0,0,0,0,0,0,0,0,20.1,0,0,0,0,0,0,0,0,0,0,15.951,0,0,2.4966,0,0,0,0,0,0,0,2.125,0,0,0,0,0,0,0,0.484,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.363333333333333,0,0,0,0,0,0,0,0,0
"15","28",0,0,0.04,0,0,0,0,0,0,0,0.08,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253333333333333,0.41,0,0,0,0,0,0,0,0.04,0,0,0.525,0,0,0,0,0,0,15.7555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0.22,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,16.536,0,0.82,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52285714285714,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,18.36,0
"16","29",0,0,0,0,0,0,0,0,0,0,10.63,10.76,13.655,0.23,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1.655,0.26,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.801,0,0,5.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.794,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","30",0,0,0,0,0,0,0,0,0,0,6.155,4.78,2.825,0.19,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0.845,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0.85,0,0,0,0,0,0,0,0,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,7.12,0.34,0,0,0,0,0,1.04,0,1.92666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.536,0,0,5.40555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65375,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","31",0,0,0,2.23375,0,0,0,0,0,0,1.935,8.5,3.09,1.12666666666667,0,0,0,0,0,0,0,0,0,3.895,1.97,1.22,0,0,0,2.055,0,0,0,0,3.42333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,2.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.305,0,2.2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.635,0,0,0,0,1.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.773,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","32",0,0,0,1.53375,0,0,0,0.54,0,0,5.20857142857143,18.6625,6.295,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94714285714286,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0
"20","33",0,0,0,4.513,0,0,0,0,0,0,0,0,0.18,0.225,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0.09,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.52,0,0,0,0,0,0,0,0,0,0,0.886666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","34",0,0,0,0,0,0,0,0,0,20.94,3.44,10.2316666666667,36.625,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641666666666667,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0.06,0,0.59,0,0.35,0,0,0.35,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,40.31,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0
"22","35",0,0,0,0,0,0,0,0,0,0,14.57,21.506,24.86,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0,0,0,0,0,0,0,1.255,0,4.825,0.32,0,0,0,0,0,0,0,0,0,0,0,0.633333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,10.52,0,0.73,0,0,0,0,0,0,0,0,2.45,0,0,0,0,0,0,0,0,0,6.092,0,0,0,2.4,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","36",0,0,0,0,0,0,0,0,0,0,5.81166666666667,17.738,6.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9175,0,0.2,0,0,0,0,0,0,0,0,3.69333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,1.575,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,21.481,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.55,0
"24","37",0,0,33.7333333333333,0,0,0,0,0,0,0,3.16,19.98,1,0,0,0,0,0,0,0,0,0,0,18.844,0,22.2844444444444,0,0,0,3.77142857142857,0,0,0,0,0,0,0,0.4,1.25,0,0,0,0,0,0,0,0,0,0,9.35,0,1.54,0,0,0,0,0,0,0,0,7.059,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,7.575,0,2.805,0,0,6,0.835,0,1.5,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1766666666667,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.225,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
